Species,Bl_mm,Tl_mm,Wt_g,Bl_min,Bl_max,Tl_min,Tl_max,Wt_min,Wt_max,Bl_min_M,Bl_max_M,Bl_min_F,Bl_max_F,Tl_min_M,Tl_max_M,Tl_min_F,Tl_max_F,Wt_min_M,Wt_max_M,Wt_min_F,Wt_max_F,Bl_Av_M,Bl_Av_F,Tl_Av_M,Tl_Av_F,Wt_Av_M,Wt_Av_F,Locomotor_use,Clade
Petrogale_assimilis,,,,,,,,,,470,590,445,550,409,545,445,550,,,,,512,496,497,487,4700,4300,Saltatorial,Macropod
Petrogale_brachyotis,,,,,,,,,,435,550,405,485,387,550,320,520,3200,5600,2200,4700,492,456,479,441,4400,3700,Saltatorial,Macropod
Petrogale_burbidgei,322,276,1258,306,353,264,290,960,1430,,,,,,,,,,,,,,,,,,,Saltatorial,Macropod
Petrogale_coenensis,,,,,,,,,,540,565,440,510,485,540,470,500,4300,5000,4000,4200,,,,,,,Saltatorial,Macropod
Petrogale_concinna,319,297,1300,290,350,220,310,1050,1500,,,,,,,,,,,,,,,,,,,Saltatorial,Macropod
Petrogale_godmani,,,,,,,,,,505,570,495,528,520,640,480,540,,,,,533,508,566,505,5200,4300,Saltatorial,Macropod
Petrogale_herberti,,,,,,,,,,502,615,470,566,510,660,510,571,5000,6700,3700,4900,562,517,572,530,6000,4300,Saltatorial,Macropod
Petrogale_inornata,,,,,,,,,,507,570,454,560,490,640,430,560,3400,5600,3100,5000,535,507,548,504,5000,4200,Saltatorial,Macropod
Petrogale_lateralis,,,,,,,,,,501,521,450,470,490,613,445,590,4100,5200,2800,4400,511,460,561,504,4700,3400,Saltatorial,Macropod
Petrogale_mareeba,,,,,,,,,,425,548,425,500,420,530,415,467,,,,,485,471,486,441,4500,3800,Saltatorial,Macropod
Petrogale_penicillata,,,,,,,,,,529,586,510,570,510,700,500,630,5500,10900,4900,8200,557,536,611,563,7900,6300,Saltatorial,Macropod
