Species,Tlength_mm,Blength_mm,Wt_g,Tl_max,Bl_max,Wt_max,Tl_min,Bl_min,Wt_min,Tl_M,Bl_M,Wt_M,Tl_F,B_F,Wt+F,Locomotor_mode,Prehensility,Habitat
Zyzomys_pedunculatus,125,124,110,,,,,,,,,,,,,Terrestrial,NA,Rocky
Zyzomys_argurus,125,103.5,40.5,,,,,,,,,,,,,NA,NA,Rocky
Leggadina_lakedownensis,65,73.5,24.75,,,,,,,,,,,,,NA,NA,Arid
Leggadina_forresti,60,85,21.5,,,,,,,,,,,,,NA,NA,Arid
Hydromys_chrysogaster,278.5,297.75,751.75,,,,,,,,,,,,,NA,NA,NA
Xeromys_myoides,79.5,99,48,,,,,,,,,,,,,NA,NA,NA
Pogonomys_loriae,182.5,141.25,64,,,,,,,,,,,,,Both,NA,Rainforest
Rattus_leucopus,175.5,184.5,151,,,,,,,,,,,,,Terrestrial,NA,Rainforest
Rattus_villosissimus,145,173.75,149.75,,,,,,,,,,,,,Terrestrial,NA,Arid
Rattus_tunneyi,118.5,151.75,84.5,,,,,,,,,,,,,Terrestrial,NA,Forest/shrubland
Rattus_sordidus,131,155,155,,,,,,,,,,,,,Terrestrial,NA,Forest/shrubland
Rattus_nativitatis,175.5,262.5,275,,,,,,,,,,,,,NA,NA,Forest/shrubland
Rattus_macleari,256,230,200,,,,,,,,,,,,,Both,NA,Forest/shrubland
Rattus_lutreolus,101.5,159.5,125,,,,,,,,,,,,,Terrestrial,NA,Forest/shrubland
Rattus_fuscipes,150,162.5,132.5,,,,,,,,,,,,,Terrestrial,NA,Forest/shrubland
Rattus_colletti,113.5,138,117.5,,,,,,,,,,,,,NA,NA,Arid
