"Species","Bl_mm","Tl_mm","Wt_g","Bl_min","Bl_max","Tl_min","Tl_max","Wt_min","Wt_max","Bl_min_M","Bl_max_M","Bl_min_F","Bl_max_F","Tl_min_M","Tl_max_M","Tl_min_F","Tl_max_F","Wt_min_M","Wt_max_M","Wt_min_F","Wt_max_F","Bl_Av_M","Bl_Av_F","Tl_Av_M","Tl_Av_F","Wt_Av_M","Wt_Av_F","Locomotor_use","Clade"
"Bettongia_penicillata",323.75,305,1181.25,280,365,250,360,745,1500,300,365,280,350,NA,NA,NA,NA,980,1500,745,1500,332.5,315,NA,NA,1240,1122.5,"Saltatorial","Macropod"
"Bettongia_tropica",357,314,1200,295,432,268,350,900,1400,320,430,295,432,287,343,268,350,1000,1300,900,1400,350,364,314,314,1200,1200,"Saltatorial","Macropod"
"Burramys_parvus",110.5,137,41.5,NA,NA,NA,NA,30,82,NA,NA,NA,NA,NA,NA,NA,NA,30,75,30,82,110,111,138,136,41,42,"Arboreal","Phalangeroid"
"Caloprymnus_campestris",267.5,324.5,889,254,282,297,377,637,1060,255,282,254,277,297,333,310,377,637,850,743,1060,268,267,314,335,797,981,"Saltatorial","Macropod"
"Cercartetus_caudatus",106,135,30,103,108,128,151,25,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Phalangeroid"
"Cercartetus_concinnus",81,86,13,64,106,53,101,8,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Phalangeroid"
"Cercartetus_lepidus",64,71,8,50,73,60,75,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Phalangeroid"
"Cercartetus_nanus",91,89,24,70,110,75,105,15,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Phalangeroid"
"Dactylopsila_trivirgata",262,345,451.5,NA,NA,NA,NA,310,525,NA,NA,NA,NA,NA,NA,NA,NA,428,525,310,475,NA,NA,NA,NA,468,435,"Arboreal","Phalangeroid"
"Dendrolagus_bennettianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pentapedal","Macropod"
"Dendrolagus_lumholtzi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pentapedal","Macropod"
"Gymnobelideus_leadbeateri",160,172,127.5,150,170,145,180,100,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Petauroid"
"Hemibelideus_lemuroides",343,349,974.5,313,400,230,384,810,1170,315,360,313,400,314,384,230,384,810,1080,850,1170,344,342,346,352,926,1023,"Arboreal","Petauroid"
"Hypsiprymnodon_moschatus",231.5,142.5,520,153,273,123,159,360,680,153,273,212,252,132,159,123,153,360,680,453,635,230,233,145,140,529,511,"Terrestrial","Macropod"
"Lagorchestes_conspicillatus",440,450,3175,390,490,370,530,1600,4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saltatorial","Macropod"
"Lagorchestes_hirsutus",352.5,272.5,1660,310,390,245,305,780,1960,310,360,360,390,260,280,245,305,1245,1800,780,1960,330,375,270,275,1580,1740,"Saltatorial","Macropod"
"Lagorchestes_leporides",450,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saltatorial","Macropod"
"Lagostrophus_fasciatus",430,320,1600,400,450,230,360,1000,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saltatorial","Macropod"
"Lasiorhinus_latifrons",975,42.25,27125,840,1110,25,60,17500,36000,840,1110,850,1100,30,60,25,54,19000,36000,17500,36000,975,975,45,39.5,27500,26750,"Terrestrial","Vombatiform"
"Macropus_agilis",725,705,15000,593,850,587,840,9000,27000,715,850,593,722,692,840,587,700,16000,27000,9000,15000,800,650,770,640,19000,11000,"Pentapedal","Macropod"
"Macropus_antilopinus",924.5,795.5,27025,733,1200,664,960,14000,51000,830,1200,733,935,745,960,664,813,18600,51000,14000,24500,1015,834,852.5,738.5,34800,19250,"Pentapedal","Macropod"
"Macropus_dorsalis",626,635,10050,481,820,521,832,5200,21000,616,820,481,617,656,832,521,619,8700,21000,5200,7600,730,522,698,572,14000,6100,"Pentapedal","Macropod"
"Macropus_eugenii",614.5,395,6500,520,680,330,450,4000,10000,590,680,520,630,380,450,330,440,6000,10000,4000,6000,643,586,411,379,7500,5500,"Pentapedal","Macropod"
"Macropus_fuliginosus",1472,670.75,36500,946,2225,425,1000,17000,72000,946,2225,971,1746,425,1000,443,815,18000,72000,17000,39000,1585.5,1358.5,712.5,629,45000,28000,"Pentapedal","Macropod"
"Macropus_giganteus",1522.25,702,40750,958,2302,430,1090,17000,85000,972,2302,958,1857,430,1090,446,842,19000,85000,17000,42000,1637,1407.5,760,644,52000,29500,"Pentapedal","Macropod"
"Macropus_irma",1200,720,8000,NA,NA,540,970,7000,9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pentapedal","Macropod"
"Macropus_parma",496,486.25,4500,447,528,405,544,3200,5900,482,528,447,527,489,544,405,507,4100,5900,3200,4800,505,487,516.5,456,5000,4000,"Pentapedal","Macropod"
"Macropus_parryi",770,861,13500,610,1003,728,1045,7000,26000,736,1003,610,879,861,1045,728,858,14000,26000,7000,15000,845,695,941,781,16000,11000,"Pentapedal","Macropod"
"Macropus_robustus",769,683.75,25375,573,1085,534,901,6250,60000,587,1085,573,831,551,901,534,749,7250,60000,6250,28000,836,702,726,641.5,33625,17125,"Pentapedal","Macropod"
"Macropus_rufogriseus",797.5,758.5,16200,708,888,664,876,12000,23700,770,888,708,837,703,876,664,790,15000,23700,12000,15500,823,772,797,720,18600,13800,"Pentapedal","Macropod"
"Macropus_rufus",1075,850,40000,745,1400,645,1000,17000,92000,935,1400,745,1100,710,1000,645,900,22000,92000,17000,39000,1150,1000,880,820,55000,25000,"Pentapedal","Macropod"
"Macropus_bernardus",664.5,592,17000,NA,NA,NA,NA,NA,NA,595,725,NA,NA,545,640,NA,NA,19000,22000,NA,NA,683,646,609,575,21000,13000,"Pentapedal","Macropod"
"Macropus_greyi",825,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,840,730,710,NA,NA,"Pentapedal","Macropod"
"Onychogalea_fraenata",545,430,5750,430,700,360,540,4000,8000,510,700,430,540,380,540,360,440,5000,8000,4000,6000,605,485,460,400,6500,5000,"Pentapedal","Macropod"
"Onychogalea_unguifera",585,645,6650,490,690,600,730,4500,9000,540,690,490,600,600,730,600,650,6000,9000,4500,7000,600,570,660,630,7500,5800,"Pentapedal","Macropod"
"Onychogalea_lunata",439.5,241.5,3500,371,508,153,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pentapedal","Macropod"
"Petauroides_volans",405,525,1300,350,460,450,600,900,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Petauroid"
"Petaurus_australis",275,425,557.5,240,310,380,470,435,725,260,300,240,310,390,460,380,470,470,725,435,660,280,270,420,430,595,520,"Arboreal","Petauroid"
"Petaurus_breviceps",170,190,127.5,160,210,165,210,95,160,NA,NA,NA,NA,NA,NA,NA,NA,115,160,95,135,NA,NA,NA,NA,140,115,"Arboreal","Petauroid"
"Petaurus_gracilis",251,373.5,386,225,275,245,405,310,500,230,275,225,270,335,395,245,405,330,500,310,454,254,248,370,377,407,365,"Arboreal","Petauroid"
"Petaurus_norfolcensis",210,270,230,180,230,220,300,190,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Petauroid"
"Petrogale_assimilis",504,492,4500,445,590,409,550,NA,NA,470,590,445,550,409,545,445,550,NA,NA,NA,NA,512,496,497,487,4700,4300,"Saltatorial","Macropod"
"Petrogale_brachyotis",474,460,4050,405,550,320,550,2200,5600,435,550,405,485,387,550,320,520,3200,5600,2200,4700,492,456,479,441,4400,3700,"Saltatorial","Macropod"
"Petrogale_burbidgei",322,276,1258,306,353,264,290,960,1430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saltatorial","Macropod"
"Petrogale_coenensis",513.75,498.75,4375,440,565,470,540,4000,5000,540,565,440,510,485,540,470,500,4300,5000,4000,4200,552.5,475,512.5,485,4650,4100,"Saltatorial","Macropod"
"Petrogale_concinna",319,297,1300,290,350,220,310,1050,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saltatorial","Macropod"
"Petrogale_godmani",520.5,535.5,4750,495,570,480,640,NA,NA,505,570,495,528,520,640,480,540,NA,NA,NA,NA,533,508,566,505,5200,4300,"Saltatorial","Macropod"
"Petrogale_herberti",539.5,551,5150,470,615,510,660,3700,6700,502,615,470,566,510,660,510,571,5000,6700,3700,4900,562,517,572,530,6000,4300,"Saltatorial","Macropod"
